score;text;klasifikasi
-1;['btw', 'kenapa', 'twitter', 'android', 'dia'];Negatif
-1;['kalo', 'kamb', 'hitam', 'selalu', 'ada', 'utk', 'di', 'sembelih'];Negatif
-1;['habisin', 'semua', 'bro', 'samp', 'ampun', 'an', 'nih', 'rezimpokoknya', 'samp', 'kentutnya', 'basahbuka', 'aib', 'nya', 'hahaha'];Negatif
-1;['cowok', 'dongemng', 'gak', 'liat', 'vidio', 'dia', 'nya', 'yamasa', 'cewek', 'tangan', 'nya', 'bgtuudah', 'liat', 'man'];Negatif
-1;['hahah', 's', 'tuh', 'ghoib', 'piye', 'ngono'];Negatif
-1;['diduga', 'penyedia', 'channel', 'bjorkan', 'mah', 'ditetapkan', 'sebagai', 'tersangka', 'peretasan'];Negatif
-1;['absolut', 'seseorang', 'yg', 'membongkar', 'kebohongan', 'adalah', 'pahlawan', 'bagi', 'rakyat', 'yg', 'dibohongi'];Negatif
-1;['next', 'kpk', 'dong'];Negatif
-1;['kayaknya', 'fake', 'account', 'gak', 'se', 'bene', 'bjorka', 'yg', 'kemaren'];Negatif
-1;['bjorka', 'udah', 'kayak', 'resti', 'mati', 'satu', 'tumbuh', 'seribu', 'hahaha'];Negatif
-1;['kasih', 'kejutan', 'warga', 'twitter', 'bisa', 'om', 'misal', 'ungkap', 'kasu', 'dan', 'banyak', 'lagi', 'kasu', 'yg', 'lain'];Negatif
-1;['waspada', 'pengalihan', 'isu'];Negatif
-1;['walaupun', 'tanpa', 'pasangitu', 'dapat', 'membuat', 'ku', 'hidup', 'beba', 'walaupun', 'masih', 'saja', 'dimarahi', 'oleh', 'orang', 'tua', 'ku', 'viral'];Negatif
-1;['sebenarnya', 'dari', 'awal', 'sudah', 'sangat', 'jela', 'lihatlah', 'lagilagi', 'kisah', 'cinta', 'hanya', 'menepuk', 'angin'];Negatif
-1;['info', 'loker', 'hari', 'ini'];Negatif
-1;['lagi', 'ditangguhkan', 'akun', 'nya'];Negatif
