score;text;klasifikasi
1;['kepoh', 'persada', 'indah', 'rumah', 'murah', 'subsidi', 'terbaik', 'di', 'dalam', 'lingkungan', 'pedesaan', 'yang', 'asri', 'dan', 'dekat', 'dengan', 'kota', 'purwodadi', 'grobogan', 'jawa', 'tengah', 'pembiayaan', 'di', 'dukung', 'oleh', 'bri', 'semakin', 'memudahkan', 'anda', 'dalam', 'memiliki', 'rumah', 'cantik', 'ini'];Positif
1;['sebetulnya', 'beberapa', 'penyedia', 'layanan', 'berbasi', 'teknolog', 'sudah', 'mencoba', 'melakukan', 'inovasi', 'seperti', 'foto', 'ktp', 'bersamaan', 'dengan', 'orangnya', 'tapi', 'ya', 'lagi', 'umumnya', 'penjahat', 'atau', 'langkah', 'lebih', 'di', 'depan', 'para', 'calon', 'korbannya'];Positif
1;['dipantau', 'pun', 'makin', 'nambah', 'episodenya', 'mend', 'dicuekin', 'ajamakin', 'dipantau', 'makin', 'panjang', 'dramanya', 'dah', 'serahkan', 'aja', 'kepada', 'allah', 'selaku', 'hakim', 'yg', 'seadil', 'adilnyahidup', 'di', 'dunia', 'hanya', 'smntara', 'orang', 'orang', 'dzalim', 'pasti', 'akan', 'diadili'];Positif
1;['twitter', 'do', 'your', 'magic', 'bismillah', 'semoga', 'allah', 'swt', 'titipkan', 'rezeki', 'di', 'hari', 'yang', 'berkah', 'ini', 'melalui', 'aamiin', 'allahumma', 'aamiin', 'bjorka'];Positif
1;['bang', 'sini', 'bang', 'ngopi', 'jaktim', 'lo', 'orang', 'asik', 'banget', 'langsung', 'aja', 'sini', 'sokin', 'rumah', 'gua', 'kita', 'ngopi'];Positif
1;['terima', 'jasa', 'pembuatan', 'aplikasi', 'android', 'untuk', 'skripsi', 'tuga', 'akhir', 'dan', 'kebutuhan', 'lainnya', 'harga', 'dijamin', 'bersahabat', 'buat', 'yang', 'berminat', 'silahkan', 'dm'];Positif
1;['nah', 'ini', 'ketemu', 'mereka', 'sama', 'kehutanan', 'jurusan', 'teknolog', 'hasil', 'hutan', 'skripsinya', 'mirip', 'beda', 'loku', 'aja', 'jkw', 'yg', 'pake', 'kacamata', 'itu', 'om', 'gw', 'yg', 'jabat', 'tangan', 'dan', 'yg', 'barisan', 'ata', 'tengah', 'foto', 'wisuda'];Positif
1;['pilpr', 'jadikan', 'indonesia', 'bermartabat', 'berwibawa', 'dan', 'terhormat', 'di', 'mata', 'dunia', 'dengan', 'mendukung', 'ani', 'menjadi', 'presiden', 'indonesia', 'insyaallah', 'presiden', 'indonesia', 'nanti', 'aamiin', 'hongkong', 'vietnam', 'azrul', 'ananda', 'nino'];Positif
1;['kenapa', 'bjorka', 'tetap', 'dapet', 'dukungan', 'ya', 'padah', 'dia', 'udah', 'jual', 'datadata', 'pribadi', 'publik', 'dia', 'lebih', 'cocok', 'disebut', 'pahlawan', 'atau', 'penjahat'];Positif
1;['presiden', 'joko', 'widodo', 'atau', 'jokowi', 'bertemu', 'dengan', 'perwakilan', 'relawan', 'sekretariat', 'nasion', 'sekna', 'jokowi', 'di', 'istana', 'negara', 'pertemuan', 'itu', 'jokowi', 'meminta', 'para', 'relawan', 'membantu', 'menyukseskan', 'program', 'pemerintah'];Positif
