No,Latitude,Longitude,Depth,Magnitude,Class
1,19,145,131.6,6,Gempa
2,-59,-27,15,5.8,Gempa
3,-21,-139,0,5.7,Ledakan
4,-21,-138,0,5.7,Ledakan
5,19,127,15,5.8,Gempa
6,-21,-173,20,6.2,Gempa
7,73,55,0,6.4,Ledakan
8,70,55,0,6.9,Ledakan Nuklir
9,70,55,0,6.9,Ledakan Nuklir
10,73,55,0,6.4,Ledakan Nuklir
11,49,78,0,5.6,Ledakan
12,50,78,0,5.9,Ledakan Nuklir
13,50,78,0,5.7,Ledakan Nuklir
14,50,78,0,5.6,Ledakan Nuklir
15,50,78,0,5.6,Ledakan Nuklir
16,50,78,6,5.52,Ledakan Nuklir
17,50,78,0,5.5,Ledakan Nuklir
18,50,78,0,5.5,Ledakan Nuklir
19,68,78,0,5.5,Ledakan Nuklir
20,50,78,0,6,Ledakan Nuklir
21,27,87,20,5.9,Gempa
22,-33,99,2,6.2,Ledakan Batu
23,-33,99,1.5,6,Ledakan Batu
24,-33,99,1.7,5,Ledakan Batu
25,-33,99,2,5.3,Ledakan Batu
26,-13,166,35,6.9,Gempa
27,-13,166,35,6,Gempa
28,19,127,80,5.8,Gempa
29,-59,-27,95,6,Gempa
30,-24,178,565,5.8,Gempa
