;text
0;['pilpr', 'jadikan', 'indonesia', 'bermartabat', 'berwibawa', 'dan', 'terhormat', 'di', 'mata', 'dunia', 'dengan', 'mendukung', 'ani', 'menjadi', 'presiden', 'indonesia', 'insyaallah', 'presiden', 'indonesia', 'nanti', 'aamiin', 'hongkong', 'vietnam', 'azrul', 'ananda', 'nino']
1;['enak', 'emang', 'ya', 'pakai', 'hastag', 'viral', 'jadi', 'panso', 'aku', 'contohnya', 'dan', 'akun', 'michat', 'lainnya']
2;['kamu', 'tuh', 'kayak', 'jailangkung', 'bagi', 'ku', 'mau', 'datang', 'dan', 'pergi', 'yo', 'karep', 'mu', 'kagak', 'mutu']
3;['btw', 'kenapa', 'twitter', 'android', 'dia']
4;['om', 'spill', 'koruptor', 'yg', 'masih', 'seger', 'dong']
5;['pengecut']
6;['saya', 'cuma', 'bisa', 'ngintip', 'aja', 'kawan', 'semoga', 'jangan', 'ada', 'yang', 'kepasan']
7;['aku', 'memantauuu', 'mu']
8;['momok', 'bjorka', 'masih', 'bikin', 'ketarketir', 'wakil', 'ketua', 'kpk', 'mohon', 'doa', 'supaya', 'datanya', 'tidak', 'direta']
9;['cuba', 'timsu', 'ini', 'cari', 'keberadaan', 'korup', 'partai', 'banteng', 'yg', 'kabur', 'tuh', 'kan', 'hebat', 'bisa', 'nangkep', 'bjorka']
10;['kalo', 'kamb', 'hitam', 'selalu', 'ada', 'utk', 'di', 'sembelih']
11;['betuul', 'bgt', 'ketidakadilan', 'pula', 'yang', 'melahirkan']
12;['udah', 'terungkap', 'siapa', 'user', 'yg', 'post', 'idiot', 'di', 'akun', 'kalo', 'yg', 'di', 'reta', 'sajikan', 'data', 'dan', 'informasi', 'otentik', 'confidenti', 'seh', 'it', 'okcuma', 'kalo', 'hanya', 'utk', 'bulli', 'buat', 'apa', 'that', 'not', 'my', 'style']
13;['tiap', 'hari', 'aktif', 'teru', 'bjorka', 'minim', 'sehari', 'post', 'kasihan', 'teman', 'yg', 'gak', 'tahu', 'apa', 'apa', 'ditangkap', 'oleh', 'tim', 'khusu', 'negara', 'cirebon', 'madiun']
14;['tersangka', 'kasu', 'bjorka', 'asal', 'madiun', 'menghilang', 'ayah', 'mah', 'sebut', 'hingga', 'malam', 'belum', 'pulang']
15;['kasiandari', 'ribuan', 'yang', 'nyebar', 'itu', 'dia', 'yang', 'kena', 'beneran', 'capcipcup', 'kembang', 'kuncup', 'kah', 'ini', 'milihnya']
16;['biar', 'lbh', 'seru', 'lgi', 'cba', 'anda', 'bocorkan', 'aliran', 'dana', 'para', 'koruptor', 'itu', 'bro', 'biar', 'lbh', 'ketar', 'ketir', 'lagi', 'para', 'petinggi', 'di', 'negeri', 'ini', 'krn', 'rakyat', 'sdh', 'letih', 'byr', 'pajak', 'tpi', 'nggak', 'tau', 'itu', 'kemana', 'jdinya']
17;['kan', 'ada', 'googl', 'translat', 'pak', 'gitu', 'aja', 'kok', 'repot']
18;['awa', 'nanti', 'yang', 'mengkompori', 'bisa', 'dijadikan', 'tersangka', 'lho', 'ngingetin', 'aja', 'kalo', 'org', 'sdh', 'gedeg', 'tahu', 'sendirilah', 'aneh', 'kelakuannya', 'so', 'kl', 'besok', 'di', 'depan', 'rumah', 'klean', 'ada', 'tukang', 'bakso', 'atau', 'sol', 'sepatu', 'tiati']
19;['habisin', 'semua', 'bro', 'samp', 'ampun', 'an', 'nih', 'rezimpokoknya', 'samp', 'kentutnya', 'basahbuka', 'aib', 'nya', 'hahaha']
20;['laaah', 'msh', 'ada', 'toh']
21;['kalau', 'bkn', 'org', 'indonesia', 'dia', 'ga', 'paham', 'komen', 'andaheheh']
22;['terungkap', 'peran', 'pemuda', 'madiun', 'muluskan', 'hacker', 'bjorka', 'bocorkan', 'data', 'bikin', 'kanal', 'telegram', 'bjorkan', 'via']
23;['si', 'pale', 'hengker']
24;['lanjutkan', 'misterbikin', 'morat', 'marit', 'nih', 'rezim']
25;['asli', 'nikalau', 'asli', 'kasih', 'tandadoank']
