,Topic,Word,P
0,0,hacker_bjorka,0.024141371
1,0,di,0.023448132
2,0,aja,0.023373604
3,0,ga,0.017082166
4,0,sama,0.016955663
5,0,dan,0.012744707
6,0,bang,0.012562825
7,0,langsung,0.011981255
8,0,hacker,0.010995045
9,0,mau,0.010309935
10,0,ini,0.00959214
11,0,yg,0.00950912
12,0,gak,0.008310989
13,0,kirim,0.008194499
14,0,dari,0.007811896
15,0,ada,0.0077673714
16,0,punya,0.007622084
17,0,untuk,0.007616411
18,0,dong,0.0076091914
19,0,buat,0.0075047524
20,0,ya,0.0073916847
21,0,lebih,0.0073638787
22,0,mulai,0.0073414855
23,0,orang,0.0072965105
24,0,selengkapnya,0.00710789
25,0,itu,0.007044164
26,0,bjorkan,0.0070351847
27,0,lanjutkan,0.007005772
28,0,kita,0.0069027757
29,0,mereka,0.0068123834
30,0,klik,0.006809165
31,0,banget,0.0067515727
32,0,madiun,0.0065744696
33,0,nama,0.006520604
34,0,akun,0.0065025548
35,0,link,0.0064585772
36,0,percaya,0.006458363
37,0,lu,0.0064310604
38,0,g_plate,0.0064013056
39,0,sih,0.0063421833
40,0,jadi,0.0063403645
41,0,yang,0.0061985683
42,0,makin,0.006147202
43,0,nya,0.0061455523
44,0,bisa,0.0060822484
45,0,kak,0.0059581227
46,0,kalo,0.005946693
47,0,tele,0.005896892
48,0,sudah,0.005761065
49,0,rumah,0.005666814
50,0,mah,0.005599002
51,0,juga,0.0054922607
52,0,updat,0.005149949
53,0,pake,0.005095275
54,0,si,0.00498638
55,0,murah,0.0049109836
56,0,nih,0.004878001
57,0,hilang,0.0048697246
58,0,ngopi,0.0048242123
59,0,teru,0.00482263
60,0,beli,0.0047842227
61,0,emang,0.004700507
62,0,you,0.0046919184
63,0,atau,0.00458851
64,0,polisi,0.004549329
65,0,k,0.004538513
66,0,kira,0.004537577
67,0,kartu,0.0045060767
68,0,buzzer,0.0044751987
69,0,boleh,0.0044718576
70,0,ditunggu,0.0044196015
71,0,kok,0.0043670987
72,0,join,0.004313498
73,0,puan,0.0042166803
74,0,harga,0.004139207
75,0,negara,0.0041313665
76,0,shope,0.0041232207
77,0,menkominfo,0.0041135834
78,0,kalian,0.0040519526
79,0,kerja,0.004046532
80,0,ke,0.004015416
81,0,apalagi,0.004012647
82,0,indonesia,0.004008565
83,0,kan,0.0039654896
84,0,udh,0.003932358
85,0,siapa,0.0038122386
86,0,om,0.0037979968
87,0,dalam,0.0037307641
88,0,tahun,0.0036804655
89,0,belum,0.00365631
90,0,oleh,0.0036245587
91,0,biar,0.0036075972
92,0,akhirnya,0.0036011762
93,0,yakin,0.0035807174
94,0,pak,0.003579505
95,0,semoga,0.003531562
96,0,aksi,0.00350649
97,0,kami,0.0035054581
98,0,kali,0.0034634154
99,0,dunia,0.0034362387
100,0,tangan,0.0033937558
101,0,iya,0.0033574107
102,0,jual,0.0033217168
103,0,rakyat,0.0032949517
104,0,muncul,0.0032829992
105,0,lapor,0.0032404508
106,0,org,0.0032080226
107,0,hari,0.0032044044
108,0,oh,0.0031896636
109,0,terbaru,0.003176067
110,0,masih,0.0031683245
111,0,lupa,0.0031607745
112,0,plate,0.003154386
113,0,dgn,0.0031171762
114,0,asli,0.0031092435
115,0,cuma,0.0030933684
116,0,udah,0.0030878123
117,0,dengan,0.0030711654
118,0,akan,0.0030573334
119,0,mantap,0.0030122811
120,0,tuh,0.0030006208
121,0,saja,0.0029614293
122,0,it,0.0029379393
123,0,to,0.0029334328
